content,timestamp,platform,stock_name,delta_seconds,weight,label,fear_score,greed_score,neutral_score,reason
국장 몆명애들 그래프가 똑같네,2024-08-05 08:30:49+00:00,toss,삼성전자,19816522.0,2.4611181541594456e-100,,0.0,0.0,1.0,감정이 뚜렷하지 않고 정보 전달의 성격이 강함
"삼성은 그냥 아무 이유없이 모아봄
주식공부중",2024-10-15 02:58:47+00:00,toss,삼성전자,13702044.0,1.3362927753965185e-69,,0.0,0.0,1.0,"감정이 뚜렷하지 않고, 주식 공부 및 관망 태도를 보임"
바닥이 어데공,2024-11-12 00:06:51+00:00,toss,삼성전자,11293160.0,1.7151146510202165e-57,,0.6,0.1,0.3,바닥 찾기 시도와 불확실성으로 공포 비중이 높으나 중립적 태도도 일부 포함
뭐니,2025-01-07 02:57:46+00:00,toss,삼성전자,6444505.0,4.039535976452729e-33,,0.0,0.0,1.0,질문이나 감정 표현이 없어 중립적인 태도로 판단
뭐하냐 사만전자 안가고 입 쭈아아압 벌리고 대기중이다 빨리 사만전자 가라,2024-11-14 01:16:27+00:00,toss,삼성전자,11116184.0,1.3300654753780986e-56,,0.1,0.8,0.1,기대감과 흥분을 나타내는 표현으로 탐욕 비중이 높음
"역시 대한민국에서 믿을건 부동산뿐이다
부동산 불패 부동산만이 모든것을 능가한다
주식하지말구 부동산에 올인하자
그것만이 살길이다",2024-11-13 01:41:13+00:00,toss,삼성전자,11201098.0,4.977921018445266e-57,,0.0,0.8,0.2,부동산에 대한 과도한 기대와 자신감으로 탐욕 비중이 높음
끝내는 55가 깨졌구나,2025-02-28 04:09:41+00:00,toss,삼성전자,1947390.0,1.626799876002726e-10,,0.8,0.0,0.2,지지선이 깨졌다는 표현으로 인한 부정적 전망으로 공포 비중이 높음
개잡주,2025-02-06 07:55:16+00:00,toss,삼성전자,3834655.0,5.3074996113164915e-20,,0.8,0.0,0.2,비하하는 표현으로 부정적 감정 표출이 강함
다들 떡상가야쥬,2023-05-30 00:13:29+00:00,toss,삼성전자,57257562.0,1.5546382678552865e-288,,0.0,0.9,0.1,흥분과 과도한 기대를 나타내는 표현으로 탐욕 비중이 높음
주주는 아니지만 대한민국 국민으로서 뿌듯합니다,2025-02-10 05:19:54+00:00,toss,삼성전자,3498377.0,2.601419185937573e-18,,0.0,0.0,1.0,"감정이 뚜렷하지 않고, 정보 전달의 성격이 강함"
